Version|Variant|Milliseconds|Ticks|ItemCount
3|1|972|9729994|1000000
3|1|997|9962707|1000000
3|1|809|8088348|1000000
3|1|945|9453207|1000000
3|1|790|7904149|1000000
3|1|951|9504784|1000000
3|1|851|8516288|1000000
3|1|969|9683684|1000000
3|1|899|8988836|1000000
3|1|970|9706743|1000000
3|1|911|9106555|1000000
3|1|979|9784706|1000000
3|1|930|9306945|1000000
3|1|976|9755178|1000000
3|1|900|9006955|1000000
3|1|1045|10449591|1000000
3|1|1026|10251681|1000000
3|1|974|9742712|1000000
3|1|917|9171229|1000000
3|1|1001|10009384|1000000
3|1|911|9114430|1000000
3|1|982|9814484|1000000
3|1|898|8983345|1000000
3|1|974|9743419|1000000
3|1|924|9238430|1000000
3|1|981|9804244|1000000
3|1|898|8987352|1000000
3|1|992|9920588|1000000
3|1|942|9410120|1000000
3|1|993|9938542|1000000
3|1|919|9190353|1000000
3|1|987|9866377|1000000
3|1|930|9302129|1000000
3|1|963|9631009|1000000
3|1|905|9048294|1000000
3|1|909|9087240|1000000
3|1|787|7869615|1000000
3|1|851|8513293|1000000
3|1|789|7889173|1000000
3|1|850|8501445|1000000
3|1|828|8280087|1000000
3|1|930|9295004|1000000
3|1|852|8520853|1000000
3|1|948|9483229|1000000
3|1|852|8516103|1000000
3|1|1018|10183932|1000000
3|1|869|8691865|1000000
3|1|860|8595725|1000000
3|1|793|7928279|1000000
3|1|858|8581694|1000000
3|1|858|8585415|1000000
3|1|1031|10304741|1000000
3|1|986|9861706|1000000
3|1|973|9729376|1000000
3|1|920|9199603|1000000
3|1|1057|10568590|1000000
3|1|1080|10802615|1000000
3|1|1025|10253514|1000000
3|1|992|9911381|1000000
3|1|1050|10506716|1000000
3|1|951|9510232|1000000
3|1|1021|10210978|1000000
3|1|920|9193728|1000000
3|1|1015|10152138|1000000
3|1|967|9673604|1000000
3|1|1050|10494338|1000000
3|1|959|9587029|1000000
3|1|1021|10215701|1000000
3|1|945|9449413|1000000
3|1|945|9449721|1000000
3|1|795|7947455|1000000
3|1|890|8899893|1000000
3|1|844|8445315|1000000
3|1|891|8903766|1000000
3|1|917|9178504|1000000
3|1|906|9059814|1000000
3|1|798|7972638|1000000
3|1|845|8451708|1000000
3|1|788|7878431|1000000
3|1|846|8467569|1000000
3|1|786|7851717|1000000
3|1|845|8457112|1000000
3|1|790|7898620|1000000
3|1|905|9047875|1000000
3|1|908|9076984|1000000
3|1|1360|13602071|1000000
3|1|911|9113616|1000000
3|1|980|9798557|1000000
3|1|920|9198881|1000000
3|1|966|9663308|1000000
3|1|908|9079845|1000000
3|1|1009|10089359|1000000
3|1|923|9226517|1000000
3|1|978|9776452|1000000
3|1|915|9153633|1000000
3|1|858|8576093|1000000
3|1|815|8150439|1000000
3|1|852|8519143|1000000
3|1|784|7841402|1000000
3|1|853|8530946|1000000
4|1|483|4835531|1000000
4|1|531|5306884|1000000
4|1|490|4902179|1000000
4|1|540|5396387|1000000
4|1|490|4906409|1000000
4|1|523|5228443|1000000
4|1|487|4871142|1000000
4|1|530|5300458|1000000
4|1|529|5287021|1000000
4|1|554|5542524|1000000
4|1|484|4836087|1000000
4|1|508|5080324|1000000
4|1|480|4798597|1000000
4|1|515|5153183|1000000
4|1|489|4891993|1000000
4|1|505|5044195|1000000
4|1|500|5005189|1000000
4|1|561|5603503|1000000
4|1|546|5461488|1000000
4|1|559|5595668|1000000
4|1|538|5382356|1000000
4|1|555|5546908|1000000
4|1|551|5512089|1000000
4|1|559|5582190|1000000
4|1|551|5519124|1000000
4|1|558|5575370|1000000
4|1|543|5425974|1000000
4|1|573|5730146|1000000
4|1|542|5422328|1000000
4|1|563|5627104|1000000
4|1|541|5415422|1000000
4|1|564|5642688|1000000
4|1|538|5377115|1000000
4|1|565|5651540|1000000
4|1|539|5387318|1000000
4|1|572|5718458|1000000
4|1|541|5413817|1000000
4|1|571|5704227|1000000
4|1|536|5361061|1000000
4|1|563|5635074|1000000
4|1|539|5384644|1000000
4|1|558|5584605|1000000
4|1|540|5396464|1000000
4|1|559|5593043|1000000
4|1|534|5333963|1000000
4|1|557|5577697|1000000
4|1|538|5379234|1000000
4|1|507|5071794|1000000
4|1|491|4902940|1000000
4|1|505|5052265|1000000
4|1|497|4970806|1000000
4|1|510|5101874|1000000
4|1|504|5042470|1000000
4|1|513|5126066|1000000
4|1|536|5356427|1000000
4|1|550|5498589|1000000
4|1|504|5039890|1000000
4|1|514|5143374|1000000
4|1|487|4876102|1000000
4|1|508|5074465|1000000
4|1|491|4914693|1000000
4|1|513|5130506|1000000
4|1|492|4916211|1000000
4|1|516|5160615|1000000
4|1|483|4833194|1000000
4|1|510|5091100|1000000
4|1|488|4880596|1000000
4|1|510|5106769|1000000
4|1|482|4813416|1000000
4|1|509|5097465|1000000
4|1|485|4847649|1000000
4|1|513|5124393|1000000
4|1|525|5254807|1000000
4|1|583|5825052|1000000
4|1|574|5743914|1000000
4|1|544|5444434|1000000
4|1|541|5401538|1000000
4|1|550|5504208|1000000
4|1|627|6271674|1000000
4|1|633|6324211|1000000
4|1|531|5317509|1000000
4|1|561|5604158|1000000
4|1|491|4911207|1000000
4|1|553|5530928|1000000
4|1|499|4987019|1000000
4|1|545|5448543|1000000
4|1|596|5966522|1000000
4|1|624|6236801|1000000
4|1|660|6603834|1000000
4|1|627|6266103|1000000
4|1|533|5328909|1000000
4|1|584|5845200|1000000
4|1|525|5251847|1000000
4|1|533|5327989|1000000
4|1|481|4808144|1000000
4|1|523|5225583|1000000
4|1|469|4697758|1000000
4|1|588|5875590|1000000
4|1|503|5033889|1000000
4|1|519|5191239|1000000
4|2|515|5156935|1000000
4|2|566|5659265|1000000
4|2|520|5203539|1000000
4|2|498|4980121|1000000
4|2|481|4807668|1000000
4|2|514|5140875|1000000
4|2|480|4795324|1000000
4|2|498|4983284|1000000
4|2|491|4905563|1000000
4|2|528|5278922|1000000
4|2|496|4967465|1000000
4|2|539|5389765|1000000
4|2|490|4896876|1000000
4|2|516|5158542|1000000
4|2|561|5611559|1000000
4|2|502|5023623|1000000
4|2|479|4787247|1000000
4|2|504|5040088|1000000
4|2|477|4767852|1000000
4|2|516|5155945|1000000
4|2|492|4925260|1000000
4|2|519|5187261|1000000
4|2|552|5519359|1000000
4|2|502|5020664|1000000
4|2|494|4941461|1000000
4|2|500|5004103|1000000
4|2|477|4769491|1000000
4|2|504|5034255|1000000
4|2|485|4849182|1000000
4|2|510|5104296|1000000
4|2|506|5054447|1000000
4|2|507|5076615|1000000
4|2|476|4761847|1000000
4|2|505|5045889|1000000
4|2|475|4748321|1000000
4|2|505|5052335|1000000
4|2|490|4899885|1000000
4|2|512|5124288|1000000
4|2|493|4924711|1000000
4|2|501|5006964|1000000
4|2|489|4889083|1000000
4|2|525|5252320|1000000
4|2|474|4741192|1000000
4|2|493|4928720|1000000
4|2|482|4819461|1000000
4|2|502|5024128|1000000
4|2|484|4842306|1000000
4|2|493|4921860|1000000
4|2|475|4756575|1000000
4|2|500|4997301|1000000
4|2|515|5151007|1000000
4|2|587|5864991|1000000
4|2|517|5177546|1000000
4|2|504|5036418|1000000
4|2|483|4827039|1000000
4|2|500|5008534|1000000
4|2|486|4856242|1000000
4|2|510|5102544|1000000
4|2|498|4973887|1000000
4|2|512|5123517|1000000
4|2|504|5035533|1000000
4|2|510|5105602|1000000
4|2|504|5038067|1000000
4|2|498|4984788|1000000
4|2|490|4899796|1000000
4|2|500|4996361|1000000
4|2|505|5051642|1000000
4|2|515|5147071|1000000
4|2|541|5414960|1000000
4|2|519|5183183|1000000
4|2|484|4838753|1000000
4|2|504|5044951|1000000
4|2|511|5107806|1000000
4|2|520|5201064|1000000
4|2|494|4940912|1000000
4|2|495|4949355|1000000
4|2|500|4998528|1000000
4|2|514|5144916|1000000
4|2|490|4898725|1000000
4|2|502|5020220|1000000
4|2|505|5045230|1000000
4|2|508|5081754|1000000
4|2|480|4796760|1000000
4|2|488|4883577|1000000
4|2|508|5082045|1000000
4|2|501|5009923|1000000
4|2|490|4897567|1000000
4|2|523|5227151|1000000
4|2|483|4832563|1000000
4|2|512|5115868|1000000
4|2|505|5055350|1000000
4|2|509|5086258|1000000
4|2|475|4748505|1000000
4|2|744|7448062|1000000
4|2|487|4868121|1000000
4|2|523|5231351|1000000
4|2|525|5251037|1000000
4|2|517|5165433|1000000
4|2|476|4758016|1000000
4|2|537|5370557|1000000
5|1|870|8703205|1000000
5|1|829|8295593|1000000
5|1|845|8444012|1000000
5|1|891|8916214|1000000
5|1|1165|11647834|1000000
5|1|1021|10210256|1000000
5|1|958|9575625|1000000
5|1|951|9511772|1000000
5|1|902|9022252|1000000
5|1|915|9149388|1000000
5|1|874|8736285|1000000
5|1|891|8908042|1000000
5|1|919|9190553|1000000
5|1|934|9346489|1000000
5|1|863|8625503|1000000
5|1|944|9441811|1000000
5|1|804|8037824|1000000
5|1|1115|11151823|1000000
5|1|1262|12621406|1000000
5|1|929|9288229|1000000
5|1|781|7807092|1000000
5|1|839|8390698|1000000
5|1|836|8358503|1000000
5|1|938|9381348|1000000
5|1|800|8005972|1000000
5|1|878|8781028|1000000
5|1|805|8042157|1000000
5|1|874|8746871|1000000
5|1|834|8340769|1000000
5|1|957|9567008|1000000
5|1|1007|10068500|1000000
5|1|876|8765447|1000000
5|1|800|7995427|1000000
5|1|894|8942675|1000000
5|1|776|7756646|1000000
5|1|898|8976171|1000000
5|1|780|7801446|1000000
5|1|859|8597681|1000000
5|1|793|7929718|1000000
5|1|973|9729965|1000000
5|1|828|8278043|1000000
5|1|896|8958811|1000000
5|1|842|8419836|1000000
5|1|900|8999093|1000000
5|1|868|8683337|1000000
5|1|927|9270043|1000000
5|1|855|8546766|1000000
5|1|995|9947363|1000000
5|1|931|9317315|1000000
5|1|974|9737587|1000000
5|1|868|8679289|1000000
5|1|993|9925689|1000000
5|1|881|8814523|1000000
5|1|899|8986936|1000000
5|1|825|8249745|1000000
5|1|1017|10168802|1000000
5|1|857|8574630|1000000
5|1|966|9662828|1000000
5|1|843|8423362|1000000
5|1|1348|13485863|1000000
5|1|1014|10131278|1000000
5|1|910|9108060|1000000
5|1|870|8696195|1000000
5|1|1004|10038147|1000000
5|1|838|8381722|1000000
5|1|943|9435498|1000000
5|1|932|9319286|1000000
5|1|897|8970383|1000000
5|1|807|8065512|1000000
5|1|1277|12772153|1000000
5|1|1122|11214054|1000000
5|1|1003|10034306|1000000
5|1|995|9948299|1000000
5|1|925|9247187|1000000
5|1|858|8586313|1000000
5|1|983|9827453|1000000
5|1|825|8252433|1000000
5|1|929|9292372|1000000
5|1|785|7848971|1000000
5|1|860|8598279|1000000
5|1|800|7993300|1000000
5|1|843|8434166|1000000
5|1|771|7712424|1000000
5|1|909|9090436|1000000
5|1|859|8585875|1000000
5|1|930|9304338|1000000
5|1|873|8727873|1000000
5|1|930|9296881|1000000
5|1|803|8032559|1000000
5|1|933|9326784|1000000
5|1|970|9699083|1000000
5|1|1176|11764044|1000000
5|1|846|8456880|1000000
5|1|1004|10044266|1000000
5|1|811|8110867|1000000
5|1|872|8715358|1000000
5|1|804|8043067|1000000
5|1|860|8595535|1000000
5|1|813|8133154|1000000
5|1|869|8687330|1000000
